User ID,Matched With,Score
F001,S008,69.43
F001,S015,66.38
F001,S021,56.28
F002,S016,75.0
F002,S040,65.31
F002,S006,55.0
F003,S011,69.28
F003,S015,63.28
F003,S050,45.33
F004,S049,55.0
F004,S022,53.08
F004,S008,50.31
F005,S038,70.0
F005,S012,70.0
F005,S049,65.14
F006,S002,50.32
F006,S029,49.96
F006,S039,41.36
F007,S014,51.86
F007,S028,45.62
F007,S009,42.3
F008,S011,55.0
F008,S050,53.05
F008,S029,52.19
F009,S046,66.24
F009,S017,64.9
F009,S013,51.28
F010,S045,51.21
F010,S019,49.28
F010,S025,49.14
F011,S023,55.0
F011,S026,53.46
F011,S020,53.46
F012,S037,66.06
F012,S041,55.47
F012,S012,55.0
F013,S026,55.0
F013,S020,55.0
F013,S023,53.46
F014,S013,51.28
F014,S047,47.36
F014,S046,46.24
F015,S014,48.08
F015,S044,48.08
F015,S034,41.73
F016,S028,90.0
F016,S042,55.0
F016,S006,50.14
F017,S040,75.0
F017,S015,55.0
F017,S016,50.31
F018,S044,53.05
F018,S048,51.61
F018,S011,49.96
F019,S045,70.0
F019,S009,50.45
F019,S035,49.9
F020,S047,70.0
F020,S043,57.19
F020,S048,55.0
F021,S010,61.02
F021,S004,56.36
F021,S018,55.0
F022,S011,90.0
F022,S050,48.05
F022,S008,43.75
F023,S050,55.0
F023,S029,51.28
F023,S027,48.08
F024,S043,90.0
F024,S004,70.0
F024,S012,55.47
F025,S049,70.47
F025,S003,54.8
F025,S006,54.28
F026,S007,75.0
F026,S017,56.28
F026,S023,47.02
F027,S023,55.0
F027,S016,51.38
F027,S049,49.43
F028,S039,51.86
F028,S046,51.28
F028,S031,51.24
F029,S010,64.96
F029,S035,48.13
F029,S033,47.3
F030,S030,70.0
F030,S017,55.0
F030,S019,52.19
F031,S014,53.08
F031,S049,45.81
F031,S003,43.36
F032,S030,70.0
F032,S048,66.25
F032,S017,55.0
F033,S003,57.19
F033,S046,55.0
F033,S023,49.8
F034,S041,55.47
F034,S036,55.0
F034,S038,55.0
F035,S019,55.47
F035,S030,54.43
F035,S012,51.25
F036,S012,52.06
F036,S046,49.43
F036,S036,47.06
F037,S024,55.0
F037,S021,55.0
F037,S033,51.86
F038,S038,54.42
F038,S036,49.42
F038,S027,44.96
F039,S006,70.0
F039,S016,70.0
F039,S026,51.21
F040,S016,58.95
F040,S029,51.38
F040,S027,51.03
F041,S039,75.0
F041,S035,46.24
F041,S031,43.1
F042,S028,70.0
F042,S047,66.38
F042,S042,55.0
F043,S001,70.0
F043,S010,70.0
F043,S005,55.0
F044,S018,90.0
F044,S037,75.0
F044,S005,61.02
F045,S050,71.28
F045,S029,55.0
F045,S011,52.19
F046,S047,70.0
F046,S043,57.19
F046,S048,55.0
F047,S037,45.47
F047,S008,42.3
F047,S024,40.38
F048,S029,57.19
F048,S027,55.47
F048,S011,55.0
F049,S007,55.0
F049,S017,51.28
F049,S022,50.74
F050,S033,75.0
F050,S010,63.28
F050,S009,55.0
