Founder ID,Matched Provider ID,Match Score,Key Matching Reasons
F001,S008,69.43,"Industry Match, Skill Match, Timeline Fit"
F001,S015,66.38,"Industry Match, Skill Match, Timeline Fit"
F001,S021,56.28,"Industry Match, Skill Match"
F002,S016,75.0,"Industry Match, Skill Match, Project Type Match"
F002,S040,65.31,"Industry Match, Project Type Match, Timeline Fit"
F002,S006,55.0,"Skill Match, Project Type Match"
F003,S011,69.28,"Industry Match, Skill Match, Timeline Fit"
F003,S015,63.28,"Industry Match, Project Type Match, Timeline Fit"
F003,S050,45.33,"Skill Match, Timeline Fit"
F004,S049,55.0,"Skill Match, Project Type Match"
F004,S022,53.08,"Industry Match, Skill Match"
F004,S008,50.31,"Industry Match, Project Type Match"
F005,S012,70.0,"Skill Match, Project Type Match, Timeline Fit"
F005,S038,70.0,"Skill Match, Project Type Match, Timeline Fit"
F005,S049,65.14,"Industry Match, Project Type Match, Timeline Fit"
F006,S002,50.32,"Industry Match, Timeline Fit"
F006,S029,49.96,"Industry Match, Project Type Match"
F006,S039,41.36,"Industry Match, Timeline Fit"
F007,S014,51.86,"Industry Match, Skill Match"
F007,S028,45.62,"Industry Match, Timeline Fit"
F007,S009,42.3,"Project Type Match, Timeline Fit"
F008,S011,55.0,"Skill Match, Project Type Match"
F008,S050,53.05,"Industry Match, Skill Match"
F008,S029,52.19,"Skill Match, Timeline Fit"
F009,S046,66.24,"Industry Match, Project Type Match, Timeline Fit"
F009,S017,64.9,"Industry Match, Project Type Match, Timeline Fit"
F009,S013,51.28,"Skill Match, Timeline Fit"
F010,S045,51.21,"Industry Match, Skill Match"
F010,S019,49.28,"Skill Match, Timeline Fit"
F010,S025,49.14,"Industry Match, Project Type Match"
F011,S023,55.0,"Skill Match, Project Type Match"
F011,S020,53.46,"Industry Match, Skill Match"
F011,S026,53.46,"Industry Match, Skill Match"
F012,S037,66.06,"Industry Match, Skill Match, Timeline Fit"
F012,S041,55.47,"Industry Match, Skill Match"
F012,S012,55.0,"Skill Match, Project Type Match"
F013,S020,55.0,"Skill Match, Project Type Match"
F013,S026,55.0,"Skill Match, Project Type Match"
F013,S023,53.46,"Industry Match, Skill Match"
F014,S013,51.28,"Skill Match, Timeline Fit"
F014,S047,47.36,"Project Type Match, Timeline Fit"
F014,S046,46.24,"Project Type Match, Timeline Fit"
F015,S014,48.08,"Skill Match, Timeline Fit"
F015,S044,48.08,"Skill Match, Timeline Fit"
F015,S034,41.73,"Industry Match, Timeline Fit"
F016,S028,90.0,"Industry Match, Skill Match, Project Type Match, Timeline Fit"
F016,S042,55.0,"Skill Match, Project Type Match"
F016,S006,50.14,"Industry Match, Project Type Match"
F017,S040,75.0,"Industry Match, Skill Match, Project Type Match"
F017,S015,55.0,"Skill Match, Project Type Match"
F017,S016,50.31,"Industry Match, Project Type Match"
F018,S044,53.05,"Industry Match, Skill Match"
F018,S048,51.61,"Industry Match, Timeline Fit"
F018,S011,49.96,"Industry Match, Project Type Match"
F019,S045,70.0,"Skill Match, Project Type Match, Timeline Fit"
F019,S009,50.45,"Industry Match, Project Type Match"
F019,S035,49.9,"Industry Match, Project Type Match"
F020,S047,70.0,"Skill Match, Project Type Match, Timeline Fit"
F020,S043,57.19,"Industry Match, Skill Match"
F020,S048,55.0,"Skill Match, Project Type Match"
F021,S010,61.02,"Industry Match, Project Type Match, Timeline Fit"
F021,S004,56.36,"Industry Match, Skill Match"
F021,S018,55.0,"Skill Match, Project Type Match"
F022,S011,90.0,"Industry Match, Skill Match, Project Type Match, Timeline Fit"
F022,S050,48.05,"Skill Match, Timeline Fit"
F022,S008,43.75,"Industry Match, Timeline Fit"
F023,S050,55.0,"Skill Match, Project Type Match"
F023,S029,51.28,"Skill Match, Timeline Fit"
F023,S027,48.08,"Skill Match, Timeline Fit"
F024,S043,90.0,"Industry Match, Skill Match, Project Type Match, Timeline Fit"
F024,S004,70.0,"Skill Match, Project Type Match, Timeline Fit"
F024,S012,55.47,"Industry Match, Skill Match"
F025,S049,70.47,"Industry Match, Skill Match, Timeline Fit"
F025,S003,54.8,"Industry Match, Project Type Match"
F025,S006,54.28,"Industry Match, Skill Match"
F026,S007,75.0,"Industry Match, Skill Match, Project Type Match"
F026,S017,56.28,"Industry Match, Skill Match"
F026,S023,47.02,"Industry Match, Timeline Fit"
F027,S023,55.0,"Skill Match, Project Type Match"
F027,S016,51.38,"Industry Match, Skill Match"
F027,S049,49.43,"Skill Match, Timeline Fit"
F028,S039,51.86,"Industry Match, Skill Match"
F028,S046,51.28,"Skill Match, Timeline Fit"
F028,S031,51.24,"Industry Match, Project Type Match"
F029,S010,64.96,"Industry Match, Project Type Match, Timeline Fit"
F029,S035,48.13,"Project Type Match, Timeline Fit"
F029,S033,47.3,"Industry Match, Project Type Match"
F030,S030,70.0,"Skill Match, Project Type Match, Timeline Fit"
F030,S017,55.0,"Skill Match, Project Type Match"
F030,S019,52.19,"Skill Match, Timeline Fit"
F031,S014,53.08,"Industry Match, Skill Match"
F031,S049,45.81,"Industry Match, Project Type Match"
F031,S003,43.36,"Industry Match, Timeline Fit"
F032,S030,70.0,"Skill Match, Project Type Match, Timeline Fit"
F032,S048,66.25,"Industry Match, Project Type Match, Timeline Fit"
F032,S017,55.0,"Skill Match, Project Type Match"
F033,S003,57.19,"Industry Match, Skill Match"
F033,S046,55.0,"Skill Match, Project Type Match"
F033,S023,49.8,"Project Type Match, Timeline Fit"
F034,S041,55.47,"Industry Match, Skill Match"
F034,S012,55.0,"Skill Match, Project Type Match"
F034,S036,55.0,"Skill Match, Project Type Match"
F035,S019,55.47,"Industry Match, Skill Match"
F035,S030,54.43,"Industry Match, Skill Match"
F035,S012,51.25,"Industry Match, Project Type Match"
F036,S012,52.06,"Industry Match, Project Type Match"
F036,S046,49.43,"Skill Match, Timeline Fit"
F036,S036,47.06,"Project Type Match, Timeline Fit"
F037,S021,55.0,"Skill Match, Project Type Match"
F037,S024,55.0,"Skill Match, Project Type Match"
F037,S033,51.86,"Industry Match, Skill Match"
F038,S038,54.42,"Industry Match, Project Type Match"
F038,S036,49.42,"Project Type Match, Timeline Fit"
F038,S027,44.96,"Project Type Match, Timeline Fit"
F039,S006,70.0,"Skill Match, Project Type Match, Timeline Fit"
F039,S016,70.0,"Skill Match, Project Type Match, Timeline Fit"
F039,S020,51.21,"Industry Match, Skill Match"
F040,S016,58.95,"Industry Match, Project Type Match, Timeline Fit"
F040,S029,51.38,"Industry Match, Skill Match"
F040,S027,51.03,"Industry Match, Skill Match"
F041,S039,75.0,"Industry Match, Skill Match, Project Type Match"
F041,S035,46.24,"Project Type Match, Timeline Fit"
F041,S031,43.1,"Industry Match, Timeline Fit"
F042,S028,70.0,"Skill Match, Project Type Match, Timeline Fit"
F042,S047,66.38,"Industry Match, Skill Match, Timeline Fit"
F042,S042,55.0,"Skill Match, Project Type Match"
F043,S001,70.0,"Skill Match, Project Type Match, Timeline Fit"
F043,S010,70.0,"Skill Match, Project Type Match, Timeline Fit"
F043,S005,55.0,"Skill Match, Project Type Match"
F044,S018,90.0,"Industry Match, Skill Match, Project Type Match, Timeline Fit"
F044,S037,75.0,"Industry Match, Skill Match, Project Type Match"
F044,S005,61.02,"Industry Match, Project Type Match, Timeline Fit"
F045,S050,71.28,"Industry Match, Skill Match, Timeline Fit"
F045,S029,55.0,"Skill Match, Project Type Match"
F045,S011,52.19,"Skill Match, Timeline Fit"
F046,S047,70.0,"Skill Match, Project Type Match, Timeline Fit"
F046,S043,57.19,"Industry Match, Skill Match"
F046,S048,55.0,"Skill Match, Project Type Match"
F047,S037,45.47,"Industry Match, Timeline Fit"
F047,S008,42.3,"Project Type Match, Timeline Fit"
F047,S024,40.38,"Industry Match, Timeline Fit"
F048,S029,57.19,"Industry Match, Skill Match"
F048,S027,55.47,"Industry Match, Skill Match"
F048,S011,55.0,"Skill Match, Project Type Match"
F049,S007,55.0,"Skill Match, Project Type Match"
F049,S017,51.28,"Skill Match, Timeline Fit"
F049,S022,50.74,"Industry Match, Project Type Match"
F050,S033,75.0,"Industry Match, Skill Match, Project Type Match"
F050,S010,63.28,"Industry Match, Project Type Match, Timeline Fit"
F050,S009,55.0,"Skill Match, Project Type Match"
